Month,data
1973-01,46.5
1973-02,47
1973-03,47.5
1973-04,48.3
1973-05,49.1
1973-06,50.1
1973-07,51.1
1973-08,52
1973-09,53.2
1973-10,53.9
1973-11,54.5
1973-12,55.2
1974-01,55.6
1974-02,55.7
1974-03,56.1
1974-04,56.8
1974-05,57.5
1974-06,58.3
1974-07,58.9
1974-08,59.4
1974-09,59.8
1974-10,60
1974-11,60
1974-12,60.3
1975-01,60.1
1975-02,59.7
1975-03,59.5
1975-04,59.4
1975-05,59.3
1975-06,59.2
1975-07,59.1
1975-08,59
1975-09,59.3
1975-10,59.5
1975-11,59.5
1975-12,59.5
1976-01,59.7
1976-02,59.7
1976-03,60.5
1976-04,60.7
1976-05,61.3
1976-06,61.4
1976-07,61.8
1976-08,62.4
1976-09,62.4
1976-10,62.9
1976-11,63.2
1976-12,63.4
1977-01,63.9
1977-02,64.5
1977-03,65
1977-04,65.4
1977-05,66.3
1977-06,67.7
1977-07,69
1977-08,70
1977-09,71.4
1977-10,72.5
1977-11,73.4
1977-12,74.6
1978-01,75.2
1978-02,75.9
1978-03,76.8
1978-04,77.9
1978-05,79.2
1978-06,80.5
1978-07,82.6
1978-08,84.4
1978-09,85.9
1978-10,87.6
